id,英文术语,当前中文译名（游戏）,教材/旧词库原译,音标,词典说明/卡片释义,出现章节,教材频次,来源,审查类型,词典依据
1391,crimes of omission,不作为犯,不作为犯,kraɪmz əv oʊˈmɪʃən,,7,1,textbook,,
1392,crimes of commission,作为犯,作为犯,kraɪmz əv kəˈmɪʃən,,7,1,textbook,,
1393,robinson v. california,罗宾逊诉加利福尼亚州案,罗宾逊诉加利福尼亚州案,ˈrɑbənsən vi. ˌkæləˈfɔrnjə,,7,2,textbook,,
1394,powell v. texas,鲍威尔诉得克萨斯州案,鲍威尔诉得克萨斯州案,ˈpɑwɛl vi. ˈtɛksəs,,7,2,textbook,,
1395,mens rea,犯罪意图,犯罪意图,mɛnz reɪ,,7,10,textbook,,
1396,criminal negligence,刑事过失,刑事过失,ˈkrɪmənəl ˈnɛglɪʤəns,,7,1,textbook,,
1397,scienter,明知,明知,,,7,3,textbook,,
1398,legal defense,法定抗辩；法律抗辩,法定抗辩；法律抗辩,ˈligəl dɪˈfɛns,,7,2,textbook,,
1399,insanity defense,精神错乱抗辩,精神错乱抗辩,ˌɪnˈsænɪti dɪˈfɛns,,7,1,textbook,,
1400,penry v. lynaugh,彭里诉莱诺案,彭里诉莱诺案,,,7,2,textbook,,
1401,atkins v. virginia,阿特金斯诉弗吉尼亚州案,阿特金斯诉弗吉尼亚州案,ˈætkɪnz vi. vərˈʤɪnjə,,7,2,textbook,,
1402,juvenile,未成年人,未成年人,ˈʤuvəˌnaɪl,,7,1,textbook,,
1403,causation,因果关系,因果关系,ˌkɔˈzeɪʃən,,7,9,textbook,,
1404,but for,若无,若无,bət fər,,7,1,textbook,,
1405,direct causation,直接原因,直接原因,dɪˈrɛkt ˌkɔˈzeɪʃən,,7,1,textbook,,
1406,manslaughter,过失杀人,过失杀人,ˈmænsˌlɔtər,,7,1,textbook,,
1407,assault with a deadly weapon,持致命武器攻击,持致命武器攻击,əˈsɔlt wɪθ ə ˈdɛdli ˈwɛpən,,7,1,textbook,,
1408,culpability,罪责,罪责,ˌkəlpəˈbɪlɪti,,7,8,textbook,,
1409,principals of the first and second degrees,一级和二级主犯,一级和二级主犯,ˈprɪnsəpəlz əv ðə fərst ənd ˈsɛkənd dɪˈgriz,,7,1,textbook,,
1410,accessories before and after the fact,事前从犯与事后从犯,事前从犯与事后从犯,ækˈsɛsəriz ˌbiˈfɔr ənd ˈæftər ðə fækt,,7,1,textbook,,
1411,accessory,从犯,从犯,ækˈsɛsəri,,7,5,textbook,,
1412,accessory before the fact,事前从犯,事前从犯,ækˈsɛsəri ˌbiˈfɔr ðə fækt,,7,1,textbook,,
1413,accessory after the fact,事后从犯,事后从犯,ækˈsɛsəri ˈæftər ðə fækt,,7,6,textbook,,
1414,conspiracy,共谋,共谋,kənˈspɪrəsi,,7,1,textbook,,
1415,criminal penalty,刑事处罚,刑事处罚,ˈkrɪmənəl ˈpɛnəlti,,7,1,textbook,,
1416,penal codes,刑法典,刑法典,ˈpinəl koʊdz,,7,1,textbook,,
1417,criminal responsibility,刑事责任,刑事责任,ˈkrɪmənəl riˌspɑnsəˈbɪləti,,7,2,textbook,,
1418,statutory defenses,法定抗辩,法定抗辩,ˈstæʧəˌtɔri dɪˈfɛnsɪz,,7,2,textbook,,
1419,choice of evils,紧急避险,紧急避险,ʧɔɪs əv ˈivəlz,,7,1,textbook,,
1420,alibi,不在场证明,不在场证明,ˈæləˌbaɪ,,7,1,textbook,,
1421,standard of proof,证明标准,证明标准,ˈstændərd əv pruf,,7,1,textbook,,
1422,preponderance of evidence,证据优势,证据优势,priˈpɑndrəns əv ˈɛvədəns,,7,2,textbook,,
1423,connally v. general construction co.,康纳利诉通用建筑公司案,康纳利诉通用建筑公司案,ˈkɑnəli vi. ˈʤɛnərəl kənˈstrəkʃən koʊ.,,7,1,textbook,,
1424,roper v. simmons,罗珀诉西蒙斯案,罗珀诉西蒙斯案,ˈroʊpər vi. ˈsɪmənz,,7,1,textbook,,
1425,arrest,逮捕,逮捕,ərˈɛst,,7,23,textbook,,
1426,search and seizure,搜查与扣押,搜查与扣押,sərʧ ənd ˈsiʒər,,7,17,textbook,,
1427,search warrant,搜查证,搜查证,sərʧ ˈwɔrənt,,"7,8",11,textbook,,
1428,general warrants,通用搜查证,通用搜查证,ˈʤɛnərəl ˈwɔrənts,,7,1,textbook,,
1429,contraband,违禁品,违禁品,ˈkɑntrəˌbænd,,7,3,textbook,,
1430,fruits of the crime,犯罪所得,犯罪所得,fruts əv ðə kraɪm,,7,2,textbook,,
1431,instrumentalities of the crime,犯罪工具,犯罪工具,,,7,2,textbook,,
1432,warden v. hayden,瓦登诉海登案,瓦登诉海登案,ˈwɔrdən vi. ˈheɪdən,,7,2,textbook,,
1433,mere evidence,纯粹证据,纯粹证据,mɪr ˈɛvədəns,,7,5,textbook,,
1434,deterrence,威慑,威慑,dɪˈtərəns,,7,11,textbook,,
1435,wolf v. colorado,沃尔夫诉科罗拉多州案,沃尔夫诉科罗拉多州案,wʊlf vi. ˌkɑlərˈɑdoʊ,,7,2,textbook,,
1436,chimel v. california,奇梅尔诉加利福尼亚州案,奇梅尔诉加利福尼亚州案,,,7,2,textbook,,
1437,stop-and-frisk,截停搜身,截停搜身,,,7,3,textbook,,
1438,terry v. ohio,特里诉俄亥俄州案,特里诉俄亥俄州案,ˈtɛri vi. oʊˈhaɪoʊ,,7,2,textbook,,
1439,reasonable suspicion,合理怀疑,合理怀疑,ˈrizənəbəl səˈspɪʃən,,7,6,textbook,,
1440,carroll v. united states,卡罗尔诉美国案,卡罗尔诉美国案,ˈkɛrəl vi. juˈnaɪtɪd steɪts,,7,2,textbook,,
1441,city of indianapolis v. edmonds,印第安纳波利斯市诉埃德蒙兹案,印第安纳波利斯市诉埃德蒙兹案,ˈsɪti əv ˌɪndiəˈnæpəlɪs vi. ˈɛdməndz,,7,1,textbook,,
1442,plain-view doctrine,明视原则,明视原则,,,7,4,textbook,,
1443,wiretapping,搭线窃听,搭线窃听,ˈwaɪərˌtæpɪŋ,,7,4,textbook,,
1444,harris v. united states,哈里斯诉美国案,哈里斯诉美国案,ˈhɛrɪs vi. juˈnaɪtɪd steɪts,,7,2,textbook,,
1445,olmstead v. united states,奥姆斯特德诉美国案,奥姆斯特德诉美国案,ˈoʊlmˌstɛd vi. juˈnaɪtɪd steɪts,,7,1,textbook,,
1446,katz v. united states,卡茨诉美国案,卡茨诉美国案,kæts vi. juˈnaɪtɪd steɪts,,7,2,textbook,,
1447,kyllo v. united states,凯洛诉美国案,凯洛诉美国案,ˈkɪloʊ vi. juˈnaɪtɪd steɪts,,7,2,textbook,,
1448,rochin v. california,罗钦诉加利福尼亚州案,罗钦诉加利福尼亚州案,,,7,3,textbook,,
1449,hudson v. michigan,哈德森诉密歇根州案,哈德森诉密歇根州案,ˈhədsən vi. ˈmɪʃɪgən,,7,1,textbook,,
1450,georgia v. randolph,佐治亚州诉伦道夫案,佐治亚州诉伦道夫案,ˈʤɔrʤə vi. ˈrændɑlf,,7,1,textbook,,
1451,riley v. california,莱利诉加利福尼亚州案,莱利诉加利福尼亚州案,ˈraɪli vi. ˌkæləˈfɔrnjə,,7,1,textbook,,
1452,escobedo v. illinois,埃斯科贝多诉伊利诺伊州案,埃斯科贝多诉伊利诺伊州案,ɛskoʊˈbeɪdoʊ vi. ˌɪləˈnɔɪz,,7,2,textbook,,
1453,plea bargaining,控辩交易,控辩交易,pli ˈbɑrgɪnɪŋ,,7,3,textbook,,
1454,mathis v. united states,马西斯诉美国案,马西斯诉美国案,ˈmæθɪs vi. juˈnaɪtɪd steɪts,,7,2,textbook,,
1455,orozco v. texas,奥罗斯科诉得克萨斯州案,奥罗斯科诉得克萨斯州案,ɔˈroʊzkoʊ vi. ˈtɛksəs,,7,2,textbook,,
1456,beckwith v. united states,贝克威思诉美国案,贝克威思诉美国案,ˈbɛkˌwɪθ vi. juˈnaɪtɪd steɪts,,7,2,textbook,,
1457,oregon v. mathiason,俄勒冈州诉马蒂亚森案,俄勒冈州诉马蒂亚森案,ˈɔrəˌgɑn vi. məˈθaɪəsən,,7,2,textbook,,
1458,estelle v. smith,埃斯特尔诉史密斯案,埃斯特尔诉史密斯案,ɛˈstɛl vi. smɪθ,,7,2,textbook,,
1459,brewer v. williams,布鲁尔诉威廉姆斯案,布鲁尔诉威廉姆斯案,bruər vi. ˈwɪljəmz,,7,5,textbook,,
1460,north carolina v. butler,北卡罗来纳州诉巴特勒案,北卡罗来纳州诉巴特勒案,nɔrθ ˌkɛrəˈlaɪnə vi. ˈbətlər,,7,2,textbook,,
1461,berghuis v. thompkins,伯格胡伊斯诉汤普金斯案,伯格胡伊斯诉汤普金斯案,ˈbərghuɪz vi. ˈtɑmpkɪnz,,7,2,textbook,,
1462,twining v. new jersey,特怀宁诉新泽西州案,特怀宁诉新泽西州案,tˈwaɪnɪŋ vi. nu ˈʤərzi,,7,2,textbook,,
1463,adamson v. california,亚当森诉加利福尼亚州案,亚当森诉加利福尼亚州案,ˈædəmsən vi. ˌkæləˈfɔrnjə,,7,2,textbook,,
1464,malloy v. hogan,马洛伊诉霍根案,马洛伊诉霍根案,məˈlɔɪ vi. ˈhoʊˌgɑn,,7,2,textbook,,
1465,boyd v. united states,博伊德诉美国案,博伊德诉美国案,bɔɪd vi. juˈnaɪtɪd steɪts,,7,2,textbook,,
1466,breithaupt v. abram,布罗伊特豪普特诉艾布拉姆案,布罗伊特豪普特诉艾布拉姆案,ˈbraɪθaʊpt vi. əˈbræm,,7,2,textbook,,
1467,schmerber v. california,施默伯诉加利福尼亚州案,施默伯诉加利福尼亚州案,,,7,2,textbook,,
1468,lineup,列队辨认,列队辨认,ˈlaɪˌnəp,,7,3,textbook,,
1469,powell v. alabama,鲍威尔诉亚拉巴马州案,鲍威尔诉亚拉巴马州案,ˈpɑwɛl vi. ˌæləˈbæmə,,7,1,textbook,,
1470,dickerson v. united states,迪克森诉美国案,迪克森诉美国案,ˈdɪkərsən vi. juˈnaɪtɪd steɪts,,7,1,textbook,,
1471,missouri v. seibert,密苏里州诉塞伯特案,密苏里州诉塞伯特案,məˈzʊri vi. ˈsaɪbərt,,7,1,textbook,,
1472,missouri v. mcneely,密苏里州诉麦克尼利案,密苏里州诉麦克尼利案,məˈzʊri vi. məkˈnili,,7,1,textbook,,
1473,united states v. wade,美国诉韦德案,美国诉韦德案,juˈnaɪtɪd steɪts vi. weɪd,,7,1,textbook,,
1474,parole,假释,假释,pəroʊl,,7,4,textbook,,
1475,probationer,缓刑犯,缓刑犯,proʊˈbeɪʃənər,,7,2,textbook,,
1476,theories of punishment,刑罚理论,刑罚理论,ˈθɪriz əv ˈpənɪʃmənt,,7,1,textbook,,
1477,rehabilitation,改造,改造,ˌriəˌbɪləˈteɪʃən,,7,6,textbook,,
1478,lex talionis,同态复仇法,同态复仇法,,,7,1,textbook,,
1479,types of punishment,刑罚种类,刑罚种类,taɪps əv ˈpənɪʃmənt,,7,1,textbook,,
1480,probation officer,缓刑官,缓刑官,proʊˈbeɪʃən ˈɔfɪsər,,7,1,textbook,,
1481,suspended sentence,暂缓监禁,暂缓监禁,səˈspɛndɪd ˈsɛntəns,,7,1,textbook,,
1482,deferred adjudication,延期裁判,延期裁判,dɪˈfərd əˌʤudəˈkeɪʃən,,7,3,textbook,,
1483,parole officer,假释官,假释官,pəroʊl ˈɔfɪsər,,7,1,textbook,,
1484,discretion,自由裁量权,自由裁量权,dɪˈskrɛʃən,,"7,8",3,textbook,,
1485,good time,良好表现减刑,良好表现减刑,gʊd taɪm,,7,4,textbook,,
1486,determinate sentencing,确定量刑,确定量刑,dɪˈtərməˌneɪt ˈsɛntənsɪŋ,,7,1,textbook,,
1487,prisoners' rights,囚犯权利,囚犯权利,ˈprɪzənərz' raɪts,,7,1,textbook,,
1488,writs of habeas corpus,人身保护令状,人身保护令状,rɪts əv ˈhæbiəs ˈkɔrpəs,,7,1,textbook,,
1489,wolff v. mcdonnell,沃尔夫诉麦克唐纳案,沃尔夫诉麦克唐纳案,wʊlf vi. məkˈdɑnəl,,7,3,textbook,,
1490,county jail blues,县看守所蓝调,县看守所蓝调,ˈkaʊnti ʤeɪl bluz,,7,1,textbook,,
1491,friedman v. kennard,弗里德曼诉肯纳德案,弗里德曼诉肯纳德案,ˈfridmən vi. ˈkɛnərd,,7,1,textbook,,
1492,mccleskey v. kemp,麦克莱斯基诉肯普案,麦克莱斯基诉肯普案,məˈklɛski vi. kɛmp,,7,2,textbook,,
1493,kennedy v. louisiana,肯尼迪诉路易斯安那州案,肯尼迪诉路易斯安那州案,ˈkɛnədi vi. luˌiziˈænə,,7,2,textbook,,
1494,other issues,其他问题,其他问题,ˈəðər ˈɪʃuz,,7,1,textbook,,
1495,greenholtz v. inmates of nebraska penal and correctional complex,格林霍尔茨诉内布拉斯加监狱案,格林霍尔茨诉内布拉斯加监狱案,,,7,1,textbook,,
1496,ruffin v. commonwealth,拉芬诉弗吉尼亚州案,拉芬诉弗吉尼亚州案,ˈrəfɪn vi. ˈkɑmənˌwɛlθ,,7,1,textbook,,
1497,holt v. sarver,霍尔特诉萨弗案,霍尔特诉萨弗案,hoʊlt vi. ˈsɑrvər,,7,1,textbook,,
1498,trop v. dulles,特罗普诉达勒斯案,特罗普诉达勒斯案,,,7,1,textbook,,
1499,turner v. safley,特纳诉萨弗利案,特纳诉萨弗利案,ˈtərnər vi. ˈsæfli,,7,1,textbook,,
1500,johnson v. avery,约翰逊诉艾弗里案,约翰逊诉艾弗里案,ˈʤɑnsən vi. ˈeɪvəri,,7,1,textbook,,
1501,younger v. gilmore,扬格诉吉尔摩案,扬格诉吉尔摩案,ˈjəŋgər vi. ˈgɪlmɔr,,7,1,textbook,,
1502,hope v. pelzer,霍普诉佩尔泽案,霍普诉佩尔泽案,hoʊp vi. ˈpɛlzər,,7,1,textbook,,
1503,furman v. georgia,弗曼诉佐治亚州案,弗曼诉佐治亚州案,ˈfərˌmæn vi. ˈʤɔrʤə,,7,1,textbook,,
1504,gregg v. georgia,格雷格诉佐治亚州案,格雷格诉佐治亚州案,grɛg vi. ˈʤɔrʤə,,7,1,textbook,,
1505,coker v. georgia,科克诉佐治亚州案,科克诉佐治亚州案,ˈkoʊkər vi. ˈʤɔrʤə,,7,2,textbook,,
1506,batson v. kentucky,巴特森诉肯塔基州案,巴特森诉肯塔基州案,ˈbætsən vi. kənˈtəki,,7,1,textbook,,
1507,juvenile justice,少年司法,少年司法,ˈʤuvəˌnaɪl ˈʤəstɪs,,7,1,textbook,,
1508,patria potestas,家父权,家父权,,,7,1,textbook,,
1509,parens patriae,国家监护人,国家监护人,,,7,4,textbook,,
1510,in re gault,高尔特案,高尔特案,ɪn ri gɔlt,,7,3,textbook,,
1511,kent v. united states,肯特诉美国案,肯特诉美国案,kɛnt vi. juˈnaɪtɪd steɪts,,7,3,textbook,,
1512,in re winship,温希普案,温希普案,ɪn ri ˈwɪnˌʃɪp,,7,2,textbook,,
1513,breed v. jones,布里德诉琼斯案,布里德诉琼斯案,brid vi. ʤoʊnz,,7,2,textbook,,
1514,mckeiver v. pennsylvania,麦凯弗诉宾夕法尼亚州案,麦凯弗诉宾夕法尼亚州案,,,7,2,textbook,,
1515,schall v. martin,沙尔诉马丁案,沙尔诉马丁案,ʃɔl vi. ˈmɑrtɪn,,7,2,textbook,,
1516,treatment,改造,改造,ˈtritmənt,,7,1,textbook,,
1517,life without parole,不得假释的终身监禁,不得假释的终身监禁,laɪf wɪˈθaʊt pəroʊl,,7,1,textbook,,
1518,graham v. florida,格雷厄姆诉佛罗里达州案,格雷厄姆诉佛罗里达州案,græm vi. ˈflɔrɪdə,,7,1,textbook,,
1519,incapacitation,隔离,隔离,ˌɪnkəˌpæsɪˈteɪʃən,,7,1,textbook,,
1520,two case studies in criminal law,刑法中的两个案例研究,刑法中的两个案例研究,tu keɪs ˈstədiz ɪn ˈkrɪmənəl lɔ,,7,1,textbook,,
1521,rummel v. estelle,拉梅尔诉埃斯特尔案,拉梅尔诉埃斯特尔案,ˈrəməl vi. ɛˈstɛl,,7,3,textbook,,
1522,habitual offender statute,累犯制定法,累犯制定法,həˈbɪʧuəl əˈfɛndər ˈstæʧut,,7,1,textbook,,
1523,weems v. united states,威姆斯诉美国案,威姆斯诉美国案,wimz vi. juˈnaɪtɪd steɪts,,7,2,textbook,,
1524,habitual offender,累犯,累犯,həˈbɪʧuəl əˈfɛndər,,7,1,textbook,,
1525,solem v. helm,索勒姆诉赫尔姆案,索勒姆诉赫尔姆案,ˈsoʊlɪm vi. hɛlm,,7,2,textbook,,
1526,lockyer v. andrade,洛克耶诉安德拉德案,洛克耶诉安德拉德案,ˈlɑkjər vi. ˈænˌdreɪd,,7,2,textbook,,
1527,nix v. williams,尼克斯诉威廉姆斯案,尼克斯诉威廉姆斯案,nɪks vi. ˈwɪljəmz,,7,2,textbook,,
1528,english,中文,中文,ˈɪŋlɪʃ,,8,1,textbook,,
1529,icc,州际商务委员会,州际商务委员会,,,8,3,textbook,,
1530,nlrb,全国劳工关系委员会,全国劳工关系委员会,,,8,1,textbook,,
1531,delegation theory,授权理论,授权理论,ˌdɛləˈgeɪʃən ˈθɪri,,8,2,textbook,,
1532,delegate,授予,授予,ˈdɛləˌgeɪt,,8,2,textbook,,
1533,fcc,联邦通信委员会,联邦通信委员会,,,8,3,textbook,,
1534,delegation,授权,授权,ˌdɛləˈgeɪʃən,,8,12,textbook,,
1535,authorization statute,授权制定法,授权制定法,ˌɔθərəˈzeɪʃən ˈstæʧut,,8,1,textbook,,
1536,ultra vires,越权,越权,ˈəltrə vaɪrz,,8,5,textbook,,
1537,legislative veto,立法否决,立法否决,ˈlɛʤəsˌleɪtɪv ˈviˌtoʊ,,8,1,textbook,,
1538,rulemaking,规则制定,规则制定,ˈrulˌmeɪkɪŋ,,8,3,textbook,,
1539,schechter poultry co. v. united states,谢克特家禽公司诉美国案,谢克特家禽公司诉美国案,ˈʃɛktər ˈpoʊltri koʊ. vi. juˈnaɪtɪd steɪts,,8,1,textbook,,
1540,rulemaking authority,规则制定权,规则制定权,ˈrulˌmeɪkɪŋ əˈθɔrəti,,8,1,textbook,,
1541,osha,职业安全健康局,职业安全健康局,ˈoʊʃə,,8,5,textbook,,
1542,cpsc,消费品安全委员会,消费品安全委员会,,,8,1,textbook,,
1543,bob jones university v. united states,鲍勃·琼斯大学诉美国案,鲍勃·琼斯大学诉美国案,bɑb ʤoʊnz ˌjunəˈvərsəti vi. juˈnaɪtɪd steɪts,,8,2,textbook,,
1544,regulatory capture,规制俘获,规制俘获,ˈrɛgjələˌtɔri ˈkæpʧər,,8,2,textbook,,
1545,rule enforcement,规则执行,规则执行,rul ɛnˈfɔrsmənt,,8,1,textbook,,
1546,eeoc,平等就业机会委员会,平等就业机会委员会,,,8,1,textbook,,
1547,msha,矿安局,矿安局,,,8,1,textbook,,
1548,marchetti v. united states,马尔凯蒂诉美国案,马尔凯蒂诉美国案,mɑrˈkɛti vi. juˈnaɪtɪd steɪts,,8,2,textbook,,
1549,regulation and corporate responsibility,管制与公司责任,管制与公司责任,ˌrɛgjəˈleɪʃən ənd ˈkɔrpərət riˌspɑnsəˈbɪləti,,8,1,textbook,,
1550,bp,英国石油,英国石油,,,8,2,textbook,,
1551,marshall v. barlow's inc.,马歇尔诉巴洛案,马歇尔诉巴洛案,,,8,1,textbook,,
1552,administrative adjudication,行政裁判,行政裁判,ədˈmɪnɪˌstreɪtɪv əˌʤudəˈkeɪʃən,,8,1,textbook,,
1553,administrative law judge,行政法官,行政法官,ədˈmɪnɪˌstreɪtɪv lɔ ʤəʤ,,8,1,textbook,,
1554,goldberg v. kelly,戈德堡诉凯利案,戈德堡诉凯利案,ˈgoʊldbərg vi. ˈkɛli,,8,2,textbook,,
1555,cross-examine,交叉询问,交叉询问,,,8,2,textbook,,
1556,conflict of interest,利益冲突,利益冲突,ˈkɑnflɪkt əv ˈɪntəˌrɛst,,8,3,textbook,,
1557,judicial review and administrative law,司法审查与行政法,司法审查与行政法,ʤuˈdɪʃəl ˌrivˈju ənd ədˈmɪnɪˌstreɪtɪv lɔ,,8,1,textbook,,
1558,nrc,核管会,核管会,,,8,1,textbook,,
1559,cab,民航委员会,民航委员会,kæb,,8,1,textbook,,
1560,preclusion of judicial review,排除司法审查,排除司法审查,prɪˈkluʒən əv ʤuˈdɪʃəl ˌrivˈju,,8,1,textbook,,
1561,wellman v. whittier,惠尔曼诉惠蒂尔案,惠尔曼诉惠蒂尔案,ˈwɛlmən vi. ˈwɪtiər,,8,2,textbook,,
1562,johnson v. robison,约翰逊诉罗宾逊案,约翰逊诉罗宾逊案,ˈʤɑnsən vi. ˈrɑbɪsən,,8,2,textbook,,
1563,traynor v. turnage,特雷诺诉特尼奇案,特雷诺诉特尼奇案,ˈtreɪnər vi. ˈtərnɪʤ,,8,2,textbook,,
1564,va,退伍军人事务部,退伍军人事务部,,,8,2,textbook,,
1565,exhaustion of administrative remedies,穷尽行政救济,穷尽行政救济,ɪgˈzɔsʧən əv ədˈmɪnɪˌstreɪtɪv ˈrɛmədiz,,8,2,textbook,,
1566,primary jurisdiction,首先管辖权,首先管辖权,ˈpraɪˌmɛri ˌʤʊrɪsˈdɪkʃən,,8,4,textbook,,
1567,texas pacific railway co. v. abilene cotton oil co.,得州太平洋铁路公司诉阿比林棉油公司案,得州太平洋铁路公司诉阿比林棉油公司案,ˈtɛksəs pəˈsɪfɪk ˈreɪlˌweɪ koʊ. vi. ˈæbɪˌlin ˈkɔtən ɔɪl koʊ.,,8,2,textbook,,
1568,exhaustion of patience,耐心耗尽,耐心耗尽,ɪgˈzɔsʧən əv ˈpeɪʃəns,,8,1,textbook,,
1569,declaratory relief,确认性救济；宣告式救济,确认性救济；宣告式救济,dɪˈklɛrəˌtɔri rɪˈlif,,"8,9",2,textbook,,
1570,substantial evidence,实质性证据,实质性证据,səbˈstænʃəl ˈɛvədəns,,8,6,textbook,,
1571,consolidated edison v. national labor relations board,联合爱迪生诉全国劳工关系委员会案,联合爱迪生诉全国劳工关系委员会案,kənˈsɑləˌdeɪtəd ˈɛdɪsən vi. ˈnæʃənəl ˈleɪbər riˈleɪʃənz bɔrd,,8,2,textbook,,
1572,environmental law,环境法,环境法,ɪnˌvaɪrənˈmɛnəl lɔ,,9,33,textbook,,
1573,governmental agencies,行政机关,行政机关,ˌgəvərnˈmɛntəl ˈeɪʤənsiz,,9,1,textbook,,
1574,"environmental protection agency, epa",环境保护署,环境保护署,,,9,1,textbook,,
1575,environmental impact statements,环境影响报告书,环境影响报告书,ɪnˌvaɪrənˈmɛnəl ˌɪmˈpækt ˈsteɪtmənts,,9,1,textbook,,
1576,litigation,诉讼,诉讼,ˌlɪtəˈgeɪʃən,,9,1,textbook,,
1577,environmental legislation,环境立法,环境立法,ɪnˌvaɪrənˈmɛnəl ˌlɛʤəsˈleɪʃən,,9,1,textbook,,
1578,environmental law jurisprudence,环境法法理学,环境法法理学,ɪnˌvaɪrənˈmɛnəl lɔ ˌʤʊrəˈsprudəns,,9,1,textbook,,
1579,legal relations,法律关系,法律关系,ˈligəl riˈleɪʃənz,,9,1,textbook,,
1580,common law and the environment,普通法与环境,普通法与环境,ˈkɑmən lɔ ənd ðə ɪnˈvaɪrənmənt,,9,1,textbook,,
1581,law of nuisance,妨害法,妨害法,lɔ əv ˈnusəns,,9,2,textbook,,
1582,intentional nuisance,故意妨害,故意妨害,ˌɪnˈtɛnʃənəl ˈnusəns,,9,2,textbook,,
1583,negligent nuisance,过失妨害,过失妨害,ˈnɛglɪʤənt ˈnusəns,,9,1,textbook,,
1584,reckless nuisance,轻率妨害,轻率妨害,ˈrɛkləs ˈnusəns,,9,1,textbook,,
1585,private nuisance,私人妨害,私人妨害,ˈpraɪvət ˈnusəns,,9,4,textbook,,
1586,public nuisance,公共妨害,公共妨害,ˈpəblɪk ˈnusəns,,9,13,textbook,,
1587,money damages,金钱损害赔偿,金钱损害赔偿,ˈməni ˈdæmɪʤɪz,,9,1,textbook,,
1588,peace of the realm,王国安宁,王国安宁,pis əv ðə rɛlm,,9,1,textbook,,
1589,"clean air act, caa",清洁空气法,清洁空气法,,,9,1,textbook,,
1590,epa,环境保护署,环境保护署,,,9,12,textbook,,
1591,"national ambient air quality standards, naaqss",国家环境空气质量标准,国家环境空气质量标准,,,9,1,textbook,,
1592,"state implementation plan, sip",州实施计划,州实施计划,"steɪt ˌɪmpləmɛnˈteɪʃən plæn, sɪp",,9,1,textbook,,
1593,"federal implementation plan, fip",联邦实施计划,联邦实施计划,,,9,1,textbook,,
1594,"notice of violation, nov",违法通知,违法通知,"ˈnoʊtɪs əv vaɪəˈleɪʃən, noʊv",,9,1,textbook,,
1595,"administrative procedure act, apa",行政程序法,行政程序法,,,9,1,textbook,,
1596,citation,罚单,罚单,saɪˈteɪʃən,,9,1,textbook,,
1597,nonattainment,未达标,未达标,,,9,1,textbook,,
1598,"best available control measures, bacm",最佳可得控制措施,最佳可得控制措施,,,9,1,textbook,,
1599,massachusetts v. epa,马萨诸塞诉环保署案,马萨诸塞诉环保署案,,,9,2,textbook,,
1600,"endangered species act, esa",濒危物种法,濒危物种法,,,9,1,textbook,,
1601,taking,猎取；征收,猎取；征收,ˈteɪkɪŋ,,9,38,textbook,,
1602,snail darter,蜗牛镖鲈,蜗牛镖鲈,sneɪl ˈdɑrtər,,9,1,textbook,,
1603,tva v. hill,田纳西流域管理局诉希尔案,田纳西流域管理局诉希尔案,,,9,1,textbook,,
1604,tva,田纳西流域管理局,田纳西流域管理局,,,9,1,textbook,,
1605,take,猎取,猎取,teɪk,,9,1,textbook,,
1606,andrus v. allard,安德鲁斯诉阿拉德案,安德鲁斯诉阿拉德案,ˈændrəs vi. ˌæˈlɑrd,,9,1,textbook,,
1607,issues of environmental law,环境法的重要问题,环境法的重要问题,ˈɪʃuz əv ɪnˌvaɪrənˈmɛnəl lɔ,,9,1,textbook,,
1608,sierra club v. morton,塞拉俱乐部诉莫顿案,塞拉俱乐部诉莫顿案,siˈɛrə kləb vi. ˈmɔrtən,,9,1,textbook,,
1609,injury in fact,事实上的损害,事实上的损害,ˈɪnʤəri ɪn fækt,,9,5,textbook,,
1610,lujan v. defenders of wildlife,卢汉诉野生动物保护者案,卢汉诉野生动物保护者案,luˈjɑn vi. dɪˈfɛndərz əv ˈwaɪlˌdlaɪf,,9,1,textbook,,
1611,case and controversy,案件与争议,案件与争议,keɪs ənd ˈkɑntrəˌvərsi,,9,1,textbook,,
1612,bennett v. spear,贝内特诉斯皮尔案,贝内特诉斯皮尔案,ˈbɛnɪt vi. spɪr,,9,1,textbook,,
1613,private attorneys general,私人检察总长,私人检察总长,ˈpraɪvət əˈtərniz ˈʤɛnərəl,,9,1,textbook,,
1614,citizen suit,公民诉讼,公民诉讼,ˈsɪtɪzən sut,,9,2,textbook,,
1615,plain language,字面含义,字面含义,pleɪn ˈlæŋgwɪʤ,,9,1,textbook,,
1616,mugler v. kansas,马格勒诉堪萨斯州案,马格勒诉堪萨斯州案,,,9,1,textbook,,
1617,village of euclid v. ambler realty co.,欧几里得村诉安布勒房地产公司案,欧几里得村诉安布勒房地产公司案,ˈvɪlɪʤ əv ˈjuklɪd vi. ˈæmblər ˈriəlˌti koʊ.,,9,1,textbook,,
1618,penn central transportation co. v. new york city,宾州中央运输公司诉纽约市案,宾州中央运输公司诉纽约市案,pɛn ˈsɛntrəl ˌtrænspərˈteɪʃən koʊ. vi. nu jɔrk ˈsɪti,,9,1,textbook,,
1619,barrett v. new york,巴雷特诉纽约州案,巴雷特诉纽约州案,ˈbɛrɪt vi. nu jɔrk,,9,1,textbook,,
